blade station,x1,x2,x3,airfoil,pitch axis,chord,twist,root buildup base,root buildup height,spar cap base,spar cap height,shear web base biax,shear web base foam,TE reinf base,TE reinf height uniax,TE reinf height foam,LE panel height,aft panel height
1,0,0,0,Cylinder,0.5,5.694,13.308,1.672,0.16,1.5,0.013,0.003,0.08,1,0,0,0,0
2,0.5,0,0,Cylinder,0.5,5.694,13.308,1.672,0.14,1.5,0.013,0.003,0.08,1,0.001,0,0,0
3,0.7,0,0,SNL-100m-0pt007,0.5,5.694,13.308,1.672,0.12,1.5,0.013,0.003,0.08,1,0.002,0,0,0
4,0.9,0,0,SNL-100m-0pt009,0.5,5.694,13.308,1.672,0.1,1.5,0.013,0.003,0.08,1,0.003,0,0,0
5,1.1,0,0,SNL-100m-0pt011,0.5,5.694,13.308,1.672,0.08,1.5,0.013,0.003,0.08,1,0.005,0,0,0
6,1.3,0,0,SNL-100m-Ellipse97,0.5,5.694,13.308,1.672,0.07,1.5,0.013,0.003,0.08,1,0.007,0,0.001,0.001
7,2.4,0,0,SNL-100m-Ellipse93pt1,0.499,5.792,13.308,1.672,0.063,1.5,0.013,0.003,0.08,1,0.008,0,0.0035,0.0035
8,2.6,0,0,SNL-100m-Ellipse92pt5,0.498,5.811,13.308,1.672,0.055,1.5,0.013,0.003,0.08,1,0.009,0,0.013,0.013
9,4.7,0,0,SNL-100m-Transition84,0.483,6.058,13.308,1.672,0.04,1.5,0.02,0.003,0.08,1,0.013,0,0.03,0.1
10,6.8,0,0,SNL-100m-Transition76,0.468,6.304,13.308,1.672,0.025,1.5,0.03,0.003,0.08,1,0.018,0,0.05,0.1
11,8.9,0,0,SNL-100m-Transition68,0.453,6.551,13.308,1.672,0.015,1.5,0.051,0.003,0.08,1,0.025,0.06,0.06,0.1
12,11.4,0,0,SNL-100m-Transition60,0.435,6.835,13.308,1.672,0.005,1.5,0.068,0.003,0.08,1,0.033,0.06,0.06,0.1
13,14.6,0,0,SNL-100m-Transition51,0.41,7.215,13.308,0,0,1.5,0.094,0.003,0.08,1,0.04,0.06,0.06,0.1
14,16.3,0,0,SNL-100m-Transition47,0.4,7.404,13.177,0,0,1.5,0.111,0.003,0.08,1,0.05,0.06,0.06,0.06
15,17.9,0,0,SNL-100m-Transition43pt5,0.39,7.552,13.046,0,0,1.5,0.119,0.003,0.08,1,0.06,0.06,0.06,0.06
16,19.5,0,0,DU99-W-405,0.38,7.628,12.915,0,0,1.5,0.136,0.003,0.08,1,0.06,0.06,0.06,0.06
17,22.2,0,0,DU99-W-405_38,0.378,7.585,12.133,0,0,1.5,0.136,0.003,0.08,1,0.06,0.06,0.06,0.06
18,24.9,0,0,DU99-W-350_36,0.377,7.488,11.35,0,0,1.5,0.136,0.003,0.08,1,0.06,0.06,0.06,0.06
19,27.6,0,0,DU99-W-350_34,0.375,7.347,10.568,0,0,1.5,0.128,0.003,0.08,1,0.03,0.04,0.06,0.06
20,35.8,0,0,DU97-W-300,0.375,6.923,9.166,0,0,1.5,0.119,0.003,0.08,1,0.03,0.02,0.06,0.06
21,43.9,0,0,DU91-W2-250_26,0.375,6.429,7.688,0,0,1.5,0.111,0.003,0.08,1,0.015,0.01,0.06,0.06
22,52,0,0,DU93-W-210_23,0.375,5.915,6.18,0,0,1.5,0.102,0.003,0.08,1,0.008,0.01,0.06,0.06
23,60.2,0,0,DU93-W-210,0.375,5.417,4.743,0,0,1.5,0.085,0.003,0.08,1,0.004,0.01,0.06,0.06
24,66.7,0,0,NACA-64-618_19,0.375,5.019,3.633,0,0,1.5,0.068,0.003,0.08,1,0.004,0.01,0.06,0.06
25,68.3,0,0,NACA-64-618_18.5,0.375,4.92,3.383,0,0,1.5,0.064,0.003,0.08,1,0.004,0.01,0.055,0.055
26,73.2,0,0,NACA-64-618,0.375,4.621,2.735,0,0,1.5,0.047,0.003,0.08,1,0.004,0.01,0.045,0.045
27,76.4,0,0,NACA-64-618,0.375,4.422,2.348,0,0,1.5,0.034,0.003,0.08,1,0.004,0.01,0.03,0.03
28,84.6,0,0,NACA-64-618,0.375,3.925,1.38,0,0,1.5,0.017,0.003,0.08,1,0.004,0.01,0.015,0.015
29,89.4,0,0,NACA-64-618,0.375,3.619,0.799,0,0,1.5,0.009,0.003,0.08,1,0.004,0.01,0.01,0.01
30,94.3,0,0,NACA-64-618,0.375,2.824,0.28,0,0,1.5,0.005,0.003,0.08,1,0.004,0.01,0.005,0
31,95.7,0,0,NACA-64-618,0.375,2.375,0.21,0,0,1.5,0.005,0.003,0.08,1,0.004,0.01,0.005,0
32,97.2,0,0,NACA-64-618,0.375,1.836,0.14,0,0,1.5,0.005,0.003,0.08,1,0.004,0.01,0.005,0
33,98.6,0,0,NACA-64-618,0.375,1.208,0.07,0,0,1.5,0.005,0.003,0.08,1,0.004,0.01,0.005,0
34,100,0,0,NACA-64-618,0.375,0.1,0,0,0,1.5,0.005,0.003,0.08,1,0,0,0,0
