Blade Station Number,Blade Span Fraction,Blade Spanwise Coordinate,"K_55, EI_flap","K_66, EI_edge","K_44, GJ_twist","K_11, EA_axial","M_11, mu_mass","M_55, i22_flap","M_66, i33_edge"
1,0.0,0.0,312495258220.0,312495258220.0,162715375950.0,82009889380.0,5560.5498728,21173.325783,21173.325783
2,0.005,0.5,290739122980.0,280241674440.0,145983043060.0,74503635656.0,5020.7227659,19472.291609,18994.452682
3,0.006999999999999999,0.7,252381887760.0,245505902810.0,126715671890.0,65028503021.0,4384.2640554,16905.291293,16655.687919
4,0.009000000000000001,0.9,214522757070.0,210470661080.0,107469823400.0,55560852563.0,3748.2322258,14372.293026,14295.004174
5,0.011000000000000001,1.1,177462334700.0,176297051880.0,88364205419.0,46296765258.0,3121.5909814,11885.591955,11966.660396
6,0.013000000000000001,1.3,158030475430.0,159796190590.0,78454270780.0,41783510998.0,2813.7369848,10581.115086,10822.746461
7,0.024,2.4,148702030910.0,154181213220.0,72277540027.0,42646139126.0,3156.482935,10561.303368,10623.641829
8,0.026000000000000002,2.6,135145701170.0,141412747860.0,65071935877.0,39065883703.0,2929.7115262,9703.9686867,9811.3814296
9,0.047,4.7,107888522690.0,126523770040.0,51191245043.0,33352188603.0,2572.8374889,7941.7115049,8907.8947233
10,0.068,6.8,19775457227.0,41851121366.0,9565485830.3,12893513653.0,1093.1891213,1510.1521336,3211.0297978
11,0.08900000000000001,8.9,11096595734.0,36143928217.0,4431957644.0,13168672634.0,1024.9833065,764.50332429,2836.9755967
12,0.114,11.4,6314854577.2,34521323612.0,2189631026.8,12225801646.0,909.49527595,412.29333625,2612.4838236
13,0.146,14.6,7724667329.6,37878756885.0,1671267851.5,13434879147.0,952.92154147,462.61874277,2864.3249643
14,0.163,16.3,,,,,,,
15,0.179,17.9,,,,,,,
16,0.195,19.5,,,,,,,
17,0.222,22.2,,,,,,,
18,0.249,24.9,,,,,,,
19,0.276,27.6,,,,,,,
20,0.30333000000000004,30.333000000000002,,,,,,,
21,0.33067,33.067,,,,,,,
22,0.358,35.8,,,,,,,
23,0.385,38.5,,,,,,,
24,0.41200000000000003,41.2,,,,,,,
25,0.439,43.9,9082280422.7,34967743766.0,1791686772.8,20610887551.0,1309.5283075,496.79593538,2655.0349189
26,0.466,46.6,,,,,,,
27,0.493,49.3,,,,,,,
28,0.52,52.0,5699409888.5,23007740375.0,1193043059.7,18292562518.0,1154.7449908,310.97235889,1879.3451444
29,0.602,60.2,3304309853.2,15119332832.0,766639603.4,15241837777.0,970.07927651,180.61537281,1302.4748116
30,0.667,66.7,2100769378.4,11317229522.0,506780768.85,12482504693.0,794.81258271,116.70196142,942.12642242
31,0.6829999999999999,68.3,1809729899.9,10629481704.0,451344755.36,11873966706.0,754.82214676,100.58744815,873.00894785
32,0.732,73.2,1181943069.8,8672893342.4,338334871.34,9478746968.9,618.73764489,67.250594547,697.48803706
33,0.764,76.4,856067891.2,7461774014.7,280939245.56,7692892668.5,516.74817089,50.2327272,586.86223196
34,0.846,84.6,415673895.34,5120631713.3,177154936.97,5172738722.0,370.24256791,26.263233087,394.98795526
35,0.894,89.4,244805317.81,3942280175.1,127353252.12,3928913765.8,298.25734823,16.719452409,304.51715149
36,0.943,94.3,96908026.366,1883995880.1,57512329.952,2761448674.3,209.85163419,6.7866394269,144.23929797
37,0.9570000000000001,95.7,56488929.242,1031422613.7,30446921.895,2174578007.1,153.48925081,3.8449767674,73.850245573
38,0.972,97.2,25408444.616,452931778.87,13629321.152,1657503797.7,116.75349497,1.722021572,32.31718477
39,0.986,98.6,6808281.2639,117362476.54,3615830.7572,1061211787.7,74.332533284,0.45710407149,8.2710368942
40,1.0,100.0,651.27318376,12237.282861,520.76420351,25280170.477,1.8849747493,4.9561475257e-05,0.00093535167469
