blade station,external surface (gelcoat),external surface (triax),root buildup,spar caps,aft panels,LE panel,shear webs (biax),shear webs (foam),TE reinforcement (uniax),TE reinforcement (foam),internal surfaces (triax),internal surfaces (resin)
1,0.003525318683605714,0.029348732445606533,0.9118889443774776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02764432657798603,0.027592677915324146
2,0.00390019773786876,0.03246964889330057,0.8859509503816428,0.014373838879330704,0.0,0.0,0.0,0.0,0.0016036280904597837,0.0,0.030895178488803406,0.030806557528593823
3,0.0044408927954195055,0.036970867910149884,0.8677086592957801,0.01642046812495205,0.0,0.0,0.0,0.0,0.003698785292832897,0.0,0.03543093343030928,0.03532939315055621
4,0.005161290799613036,0.042968091762546554,0.8433624974210306,0.019147457250519234,0.0,0.0,0.0,0.0,0.006530211922156558,0.0,0.041474414601212505,0.041356036242921675
5,0.006152699755978123,0.05122144574726119,0.8071447358517846,0.022901509925940984,0.0,0.0,0.0,0.0,0.013132731032271645,0.0,0.04979416137342763,0.049652716313335746
6,0.006749254138088699,0.056187570530044265,0.7760858710308866,0.025209171258335276,0.0016020892149623735,0.0045026836057046075,0.0,0.0,0.020257660476798254,0.0,0.05478058530268575,0.05462511444249435
7,0.004162614143885413,0.03465368831431386,0.43131775139553985,0.015564703401656962,0.003360013705998623,0.009476947784989162,0.023886413172994867,0.31848550897326444,0.014033422252505189,0.0,0.07264340437552662,0.072415532479325
8,0.004236896503525512,0.035272095500945976,0.38382381144605976,0.015833789851130972,0.012855559138623478,0.03582309077877483,0.024315694664017996,0.3242092621869062,0.016100581565786705,0.0,0.07388565800793723,0.07364356035629144
9,0.0040627951041554465,0.03382275162028582,0.2684043827524361,0.02328166558689808,0.11158524279304449,0.07782245331998514,0.022416487533513208,0.29889147391299775,0.021183741042550473,0.0,0.06939323507632202,0.0691357712578115
10,0.006290671803876731,0.0523623790484305,0.13043808837161378,0.030791325323979386,0.10938513885078899,0.09803307141156554,0.025787698051760934,0.34386217600665475,0.01776654732382455,0.0,0.09285322084834029,0.09242968295916351
11,0.006903613752392348,0.05745185475226338,0.0859157503096699,0.06156336149346775,0.14453868630061872,0.12682211862905907,0.020270700025669813,0.27031931011407934,0.01951128911558315,0.03693801087368543,0.08520469079410967,0.08456061383940254
12,0.007750780961438575,0.0645007163892436,0.032190676164710524,0.09161708196043847,0.18428735099201454,0.13051792430370304,0.017939568630438052,0.23921682051199722,0.027371199734769782,0.03332988978586837,0.08602887728973721,0.08524911327563707
