blade station,type,x1,x2,x3,pitch axis,lower SW ref pt fraction,upper SW ref pt fraction,twist,k2,k3,airfoil,chord,thickness-to-chord ratio,airfoil upper,chord upper,thickness-to-chord ratio upper,gap-to-chord ratio,gap fraction,stagger-to-chord ratio,root buildup height,spar cap base,spar cap height,shear web 1 base biax,shear web 1 base foam,shear web 1 x2,shear web 2 base biax,shear web 2 base foam,shear web 2 x2,shear web 3 base biax,shear web 3 base foam,shear web 3 x2,TE reinf base,TE reinf height uniax,TE reinf height foam,LE panel height,aft panel height,internal surface height triax,internal surface height resin,external surface height triax,external surface height gelcoat,root buildup height upper,spar cap base upper,spar cap height upper,shear web 1 base biax upper,shear web 1 base foam upper,shear web 1 x2 upper,shear web 2 base biax upper,shear web 2 base foam upper,shear web 2 x2 upper,shear web 3 base biax upper,shear web 3 base foam upper,shear web 3 x2 upper,TE reinf base upper,TE reinf height uniax upper,TE reinf height foam upper,LE panel height upper,aft panel height upper,internal surface height triax upper,internal surface height resin upper,external surface height triax upper,external surface height gelcoat upper,comment
1,monoplane,0,0,0,0.5,,,13.308,0,0,Cylinder,5.694,1,,,,0,,,0.16,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
2,monoplane,0.5,0,0,0.5,,,13.308,0,0,Cylinder,5.694,1,,,,0,,,0.14,1.5,0.013,,,,,,,,,,1,0.001,,,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
3,monoplane,0.7,0,0,0.5,,,13.308,0,0,SNL-100m-0pt007,5.694,0.9925,,,,0,,,0.12,1.5,0.013,,,,,,,,,,1,0.002,,,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
4,monoplane,0.9,0,0,0.5,,,13.308,0,0,SNL-100m-0pt009,5.694,0.985,,,,0,,,0.1,1.5,0.013,,,,,,,,,,1,0.003,,,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
5,monoplane,1.1,0,0,0.5,,,13.308,0,0,SNL-100m-0pt011,5.694,0.9775,,,,0,,,0.08,1.5,0.013,,,,,,,,,,1,0.005,,,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
6,monoplane,1.3,0,0,0.5,,,13.308,0,0,SNL-100m-Ellipse97,5.694,0.97,,,,0,,,0.07,1.5,0.013,,,,,,,,,,1,0.007,,0.001,0.001,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
7,monoplane,2.4,0,0,0.499,,,13.308,0,0,SNL-100m-Ellipse93pt1,5.792,0.931,,,,0,,,0.063,1.5,0.013,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.008,,0.0035,0.0035,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,"main shear webs begin, biplane spar root"
8,monoplane,2.6,0,0,0.498,,,13.308,0,0,SNL-100m-Ellipse92pt5,5.811,0.925,,,,0,,,0.055,1.5,0.013,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.009,,0.013,0.013,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
9,monoplane,4.7,0,0,0.483,,,13.308,0,0,SNL-100m-Transition84,6.058,0.84,,,,0,,,0.04,1.5,0.02,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.013,,0.03,0.1,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
10,biplane,6.8,0,0,0.468,0.468,0.468,13.308,0,0,SNL-100m-Transition53pt2,6.304,0.532,SNL-100m-Transition53pt2,6.304,0.532,0.7,0.5,0,0.0125,1.5,0.015,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.009,,0.025,0.05,0.005,0.005,0.005,0.0006,0.0125,1.5,0.015,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.009,,0.025,0.05,0.005,0.005,0.005,0.0006,
11,biplane,8.9,0,0,0.453,0.453,0.453,13.308,0,0,DU99-W-405_40pt8,6.551,0.408,DU99-W-405_40pt8,6.551,0.408,1.2,0.5,0,0.0075,1.5,0.0255,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.0125,0.03,0.03,0.05,0.005,0.005,0.005,0.0006,0.0075,1.5,0.0255,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.0125,0.03,0.03,0.05,0.005,0.005,0.005,0.0006,transition
12,biplane,11.4,0,0,0.435,0.435,0.435,13.308,0,0,DU97-W-300,6.835,0.3,DU97-W-300,6.835,0.3,1.395,0.5,0,0.0025,1.5,0.034,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.0165,0.03,0.03,0.05,0.005,0.005,0.005,0.0006,0.0025,1.5,0.034,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.0165,0.03,0.03,0.05,0.005,0.005,0.005,0.0006,
