Blade Station Number,Blade Span Fraction,Blade Spanwise Coordinate,"K_55, EI_flap","K_66, EI_edge","K_44, GJ_twist","K_11, EA_axial","M_11, mu_mass","M_55, i22_flap","M_66, i33_edge"
1,0,0,3.12E+11,3.12E+11,1.63E+11,8.20E+10,5.56E+03,2.12E+04,2.12E+04
2,0.005,0.5,2.91E+11,2.80E+11,1.46E+11,7.45E+10,5.02E+03,1.95E+04,1.90E+04
3,0.007,0.7,2.52E+11,2.46E+11,1.27E+11,6.50E+10,4.38E+03,1.69E+04,1.67E+04
4,0.009,0.9,2.15E+11,2.10E+11,1.07E+11,5.56E+10,3.75E+03,1.44E+04,1.43E+04
5,0.011,1.1,1.77E+11,1.76E+11,8.84E+10,4.63E+10,3.12E+03,1.19E+04,1.20E+04
6,0.013,1.3,1.58E+11,1.60E+11,7.85E+10,4.18E+10,2.81E+03,1.06E+04,1.08E+04
7,0.024,2.4,1.49E+11,1.54E+11,7.23E+10,4.26E+10,3.16E+03,1.06E+04,1.06E+04
8,0.026,2.6,1.58E+11,1.60E+11,7.85E+10,4.18E+10,2.81E+03,1.06E+04,1.08E+04
9,0.047,4.7,1.08E+11,1.27E+11,5.12E+10,3.34E+10,2.57E+03,7.94E+03,8.91E+03
10,0.068,6.8,8.35E+10,1.10E+11,3.68E+10,2.79E+10,2.19E+03,6.14E+03,7.76E+03
11,0.089,8.9,7.36E+10,1.05E+11,2.74E+10,2.64E+10,2.05E+03,5.19E+03,7.63E+03
12,0.114,11.4,5.80E+10,9.97E+10,1.70E+10,2.41E+10,1.82E+03,3.91E+03,7.05E+03
13,0.146,14.6,5.16E+10,1.13E+11,1.15E+10,2.58E+10,1.91E+03,3.30E+03,8.27E+03
14,0.163,16.3,4.90E+10,1.22E+11,9.46E+09,2.78E+10,1.93E+03,2.94E+03,8.31E+03
15,0.179,17.9,4.30E+10,1.28E+11,7.67E+09,2.87E+10,1.93E+03,2.52E+03,8.46E+03
16,0.195,19.5,3.98E+10,1.08E+11,6.25E+09,2.93E+10,1.90E+03,2.25E+03,7.08E+03
17,0.222,22.2,3.43E+10,1.04E+11,5.53E+09,2.89E+10,1.86E+03,1.93E+03,6.81E+03
18,0.249,24.9,2.94E+10,9.47E+10,4.71E+09,2.83E+10,1.81E+03,1.64E+03,6.18E+03
19,0.276,27.6,2.38E+10,6.68E+10,4.02E+09,2.54E+10,1.65E+03,1.33E+03,4.83E+03
20,0.358,35.8,1.48E+10,5.51E+10,2.69E+09,2.34E+10,1.49E+03,8.20E+02,3.87E+03
21,0.439,43.9,9.08E+09,3.50E+10,1.79E+09,2.06E+10,1.31E+03,4.97E+02,2.66E+03
22,0.52,52,5.70E+09,2.30E+10,1.19E+09,1.83E+10,1.15E+03,3.11E+02,1.88E+03
23,0.602,60.2,,,,,,,
24,0.667,66.7,,,,,,,
25,0.683,68.3,,,,,,,
26,0.732,73.2,,,,,,,
27,0.764,76.4,,,,,,,
28,0.846,84.6,,,,,,,
29,0.894,89.4,,,,,,,
30,0.943,94.3,,,,,,,
31,0.957,95.7,,,,,,,
32,0.972,97.2,,,,,,,
33,0.986,98.6,,,,,,,
34,1,100,,,,,,,
